"","Dates","gdp","gdp_f","nfci"
"1","1973-Q1",2.474813,-0.859765,6.084518621
"2","1973-Q2",1.088651,0.237677,9.228095459
"3","1973-Q3",-0.525903,-0.945134,9.455920765
"4","1973-Q4",0.949225,-0.388141,10.43427981
"5","1974-Q1",-0.859765,-1.217301,8.350902015
"6","1974-Q2",0.237677,0.714544,11.56433245
"7","1974-Q3",-0.945134,1.711658,14.74583314
"8","1974-Q4",-0.388141,1.346508,8.314322749
"9","1975-Q1",-1.217301,2.248761,-3.281680101
"10","1975-Q2",0.714544,0.733696,-6.402819377
"11","1975-Q3",1.711658,0.54872,-3.883154086
"12","1975-Q4",1.346508,0.724846,-3.55379487
"13","1976-Q1",2.248761,1.181492,-6.881251761
"14","1976-Q2",0.733696,1.944109,-3.363529866
"15","1976-Q3",0.54872,1.804351,-2.515330114
"16","1976-Q4",0.724846,0.002187,-0.966156008
"17","1977-Q1",1.181492,0.319178,2.209423459
"18","1977-Q2",1.944109,3.864251,3.05599951
"19","1977-Q3",1.804351,1.005523,3.407253049
"20","1977-Q4",0.002187,1.344146,4.361435449
"21","1978-Q1",0.319178,0.179784,3.827596943
"22","1978-Q2",3.864251,0.106929,3.21955542
"23","1978-Q3",1.005523,0.742873,2.837032441
"24","1978-Q4",1.344146,0.250074,4.976091896
"25","1979-Q1",0.179784,0.314515,4.185153521
"26","1979-Q2",0.106929,-2.060477,4.671219669
"27","1979-Q3",0.742873,-0.118849,4.840042327
"28","1979-Q4",0.250074,1.864925,6.513707086
"29","1980-Q1",0.314515,1.959438,6.426778364
"30","1980-Q2",-2.060477,-0.741078,2.976327713
"31","1980-Q3",-0.118849,1.197524,-2.12492848
"32","1980-Q4",1.864925,-1.089546,0.894204687
"33","1981-Q1",1.959438,-1.553541,0.999864806
"34","1981-Q2",-0.741078,0.456197,3.337821053
"35","1981-Q3",1.197524,-0.382295,6.142072292
"36","1981-Q4",-1.089546,0.039942,2.662994534
"37","1982-Q1",-1.553541,1.317854,3.447422527
"38","1982-Q2",0.456197,2.275605,4.242115015
"39","1982-Q3",-0.382295,1.999069,-0.534240447
"40","1982-Q4",0.039942,2.086219,-4.6992181
"41","1983-Q1",1.317854,1.95477,-6.340859012
"42","1983-Q2",2.275605,1.727791,-5.38150514
"43","1983-Q3",1.999069,0.964064,-3.248772665
"44","1983-Q4",2.086219,0.820863,-0.810945165
"45","1984-Q1",1.95477,0.969087,1.625759268
"46","1984-Q2",1.727791,0.880455,2.620072061
"47","1984-Q3",0.964064,1.527124,2.249105165
"48","1984-Q4",0.820863,0.743292,1.857925413
"49","1985-Q1",0.969087,0.933504,-0.458098298
"50","1985-Q2",0.880455,0.450384,-0.291480767
"51","1985-Q3",1.527124,0.957032,0.366987779
"52","1985-Q4",0.743292,0.537076,0.881313154
"53","1986-Q1",0.933504,0.745171,-2.13375766
"54","1986-Q2",0.450384,1.078898,-0.022358063
"55","1986-Q3",0.957032,0.867612,1.250239474
"56","1986-Q4",0.537076,1.717053,0.784219983
"57","1987-Q1",0.745171,0.516626,-1.305069743
"58","1987-Q2",1.078898,1.313867,0.635203403
"59","1987-Q3",0.867612,0.585929,-0.667397422
"60","1987-Q4",1.717053,1.332496,16.75262914
"61","1988-Q1",0.516626,1.016602,9.867725618
"62","1988-Q2",1.313867,0.763269,4.849031175
"63","1988-Q3",0.585929,0.740881,2.651292218
"64","1988-Q4",1.332496,0.197047,0.736026095
"65","1989-Q1",1.016602,1.09279,-1.590175902
"66","1989-Q2",0.763269,0.362908,-1.63207805
"67","1989-Q3",0.740881,0.066523,0.42800755
"68","1989-Q4",0.197047,-0.910379,-0.505838423
"69","1990-Q1",1.09279,-0.467844,1.483839128
"70","1990-Q2",0.362908,0.779719,0.918386
"71","1990-Q3",0.066523,0.505297,3.966792055
"72","1990-Q4",-0.910379,0.348499,5.127502424
"73","1991-Q1",-0.467844,1.197052,1.070362326
"74","1991-Q2",0.779719,1.084353,-0.177503445
"75","1991-Q3",0.505297,0.988272,-0.9226155
"76","1991-Q4",0.348499,1.043165,-0.578579655
"77","1992-Q1",1.197052,0.1674,0.542251591
"78","1992-Q2",1.084353,0.58242,-0.366147116
"79","1992-Q3",0.988272,0.477315,-0.632764275
"80","1992-Q4",1.043165,1.360113,-0.339471515
"81","1993-Q1",0.1674,0.970216,-0.972343362
"82","1993-Q2",0.58242,1.355046,-1.110291911
"83","1993-Q3",0.477315,0.584515,-1.498830958
"84","1993-Q4",1.360113,1.145524,-1.049343086
"85","1994-Q1",0.970216,0.354756,-0.687640946
"86","1994-Q2",1.355046,0.298341,0.104371758
"87","1994-Q3",0.584515,0.850678,-0.466143737
"88","1994-Q4",1.145524,0.679021,-0.033360386
"89","1995-Q1",0.354756,0.748947,-0.906872679
"90","1995-Q2",0.298341,1.667847,-1.299547683
"91","1995-Q3",0.850678,0.896991,-1.476146944
"92","1995-Q4",0.679021,1.038382,-1.309023464
"93","1996-Q1",0.748947,0.645564,-1.334565837
"94","1996-Q2",1.667847,1.662001,-1.078186334
"95","1996-Q3",0.896991,1.250848,-1.131279034
"96","1996-Q4",1.038382,0.858817,-0.895956372
"97","1997-Q1",0.645564,0.99948,-0.806920364
"98","1997-Q2",1.662001,0.925807,-0.587288892
"99","1997-Q3",1.250848,1.252567,-0.233014525
"100","1997-Q4",0.858817,1.61588,0.344475343
"101","1998-Q1",0.99948,0.946472,-0.018487364
"102","1998-Q2",0.925807,0.769159,0.057546769
"103","1998-Q3",1.252567,1.309665,1.470882718
"104","1998-Q4",1.61588,1.699585,2.366845646
"105","1999-Q1",0.946472,0.36176,1.264083464
"106","1999-Q2",0.769159,1.831165,0.659241397
"107","1999-Q3",1.309665,0.133555,0.888865832
"108","1999-Q4",1.699585,0.62289,1.513756663
"109","2000-Q1",0.36176,-0.285178,1.164364497
"110","2000-Q2",1.831165,0.584556,1.770773741
"111","2000-Q3",0.133555,-0.415038,0.640268303
"112","2000-Q4",0.62289,0.272371,1.309521568
"113","2001-Q1",-0.285178,0.874514,1.465586661
"114","2001-Q2",0.584556,0.605733,1.848215732
"115","2001-Q3",-0.415038,0.444571,1.952144477
"116","2001-Q4",0.272371,0.154823,1.915782095
"117","2002-Q1",0.874514,0.554767,1.141075503
"118","2002-Q2",0.605733,0.86026,1.386097242
"119","2002-Q3",0.444571,1.698209,4.034965364
"120","2002-Q4",0.154823,1.148167,4.359607419
"121","2003-Q1",0.554767,0.533747,3.202153594
"122","2003-Q2",0.86026,0.762076,0.014950433
"123","2003-Q3",1.698209,0.945328,-0.220858517
"124","2003-Q4",1.148167,1.001674,-0.746827315
"125","2004-Q1",0.533747,1.106964,-0.716651988
"126","2004-Q2",0.762076,0.461561,-0.69220339
"127","2004-Q3",0.945328,0.891334,-1.54444722
"128","2004-Q4",1.001674,0.631463,-1.51912949
"129","2005-Q1",1.106964,1.330287,-1.272524996
"130","2005-Q2",0.461561,0.2337,-1.59036175
"131","2005-Q3",0.891334,0.154633,-1.61134673
"132","2005-Q4",0.631463,0.851865,-2.119742917
"133","2006-Q1",1.330287,0.235493,-2.356227949
"134","2006-Q2",0.2337,0.572872,-2.016541396
"135","2006-Q3",0.154633,0.543271,-2.325225996
"136","2006-Q4",0.851865,0.607842,-2.567348607
"137","2007-Q1",0.235493,-0.5747,-1.95596345
"138","2007-Q2",0.572872,0.516387,-1.376509442
"139","2007-Q3",0.543271,-0.541356,0.350751814
"140","2007-Q4",0.607842,-2.163811,2.188183935
"141","2008-Q1",-0.5747,-1.122695,3.535531685
"142","2008-Q2",0.516387,-0.14399,3.532244494
"143","2008-Q3",-0.541356,0.364111,4.562900294
"144","2008-Q4",-2.163811,1.098384,13.05439378
"145","2009-Q1",-1.122695,0.38478,10.33354078
"146","2009-Q2",-0.14399,0.922028,5.193267346
"147","2009-Q3",0.364111,0.737211,1.666300087
"148","2009-Q4",1.098384,0.501903,-0.551809201
"149","2010-Q1",0.38478,-0.240441,-1.005411227
"150","2010-Q2",0.922028,0.714973,0.367365913
"151","2010-Q3",0.737211,-0.027779,0.306968798
"152","2010-Q4",0.501903,1.159285,-0.490633089
"153","2011-Q1",-0.240441,0.782993,-0.348196291
"154","2011-Q2",0.714973,0.430202,-0.758758725
"155","2011-Q3",-0.027779,0.134948,1.981991412
"156","2011-Q4",1.159285,0.113873,1.390595125
"157","2012-Q1",0.782993,0.885675,-1.014954352
"158","2012-Q2",0.430202,0.123396,-0.800605076
"159","2012-Q3",0.134948,0.783415,-1.820073615
"160","2012-Q4",0.113873,0.798249,-1.865368052
"161","2013-Q1",0.885675,-0.251764,-2.918973327
"162","2013-Q2",0.123396,1.253873,-2.311555683
"163","2013-Q3",0.783415,1.208911,-2.15280269
"164","2013-Q4",0.798249,0.471851,-2.776726773
"165","2014-Q1",-0.251764,0.822715,-2.372875844
"166","2014-Q2",1.253873,0.824614,-3.168042704
"167","2014-Q3",1.208911,0.240116,-3.10808325
"168","2014-Q4",0.471851,0.099909,-2.280290244
"169","2015-Q1",0.822715,0.384671,-1.421797612
"170","2015-Q2",0.824614,0.565599,-1.787570899
"171","2015-Q3",0.240116,0.477906,-0.728758373
"172","2015-Q4",0.099909,0.437574,-1.082541015
"173","2016-Q1",0.384671,0.443304,-0.179230327
"174","2016-Q2",0.565599,0.739668,-1.159061178
"175","2016-Q3",0.477906,0.698483,-1.577141266
"176","2016-Q4",0.437574,0.567937,-1.459784416
